date,time,queue_length,queue_time,people_processed,lane_count
19/12/2023 00:00,4:15:00,126,271,96,4
19/12/2023 00:00,4:20:00,173,401,98,4
19/12/2023 00:00,4:25:00,137,538,101,5
19/12/2023 00:00,4:30:00,105,556,85,5
19/12/2023 00:00,4:35:00,100,467,102,5
19/12/2023 00:00,4:40:00,79,343,81,5
19/12/2023 00:00,4:45:00,101,397,94,4
19/12/2023 00:00,4:50:00,71,423,89,4
19/12/2023 00:00,4:55:00,60,381,62,5
19/12/2023 00:00,5:00:00,68,349,117,5
19/12/2023 00:00,5:05:00,50,289,102,4
19/12/2023 00:00,5:10:00,38,205,80,4
19/12/2023 00:00,5:15:00,50,229,82,4
19/12/2023 00:00,5:20:00,40,209,97,4
19/12/2023 00:00,5:25:00,20,85,93,4
19/12/2023 00:00,5:30:00,38,83,89,5
19/12/2023 00:00,5:35:00,52,197,116,5
19/12/2023 00:00,5:40:00,22,153,114,5
19/12/2023 00:00,5:45:00,17,69,135,6
19/12/2023 00:00,5:50:00,13,81,133,6
19/12/2023 00:00,5:55:00,8,95,103,6
19/12/2023 00:00,6:00:00,18,63,142,7
19/12/2023 00:00,6:05:00,13,65,119,7
19/12/2023 00:00,6:10:00,27,57,96,7
19/12/2023 00:00,6:15:00,17,63,131,8
19/12/2023 00:00,6:20:00,20,73,94,10
19/12/2023 00:00,6:25:00,14,55,123,10
19/12/2023 00:00,6:30:00,31,63,143,11
19/12/2023 00:00,6:35:00,34,49,198,12
19/12/2023 00:00,6:40:00,33,65,175,12
19/12/2023 00:00,6:45:00,30,61,213,12
19/12/2023 00:00,6:50:00,17,49,205,12
19/12/2023 00:00,6:55:00,30,75,190,12
19/12/2023 00:00,7:00:00,20,73,199,12
19/12/2023 00:00,7:05:00,21,85,188,13
19/12/2023 00:00,7:10:00,28,51,193,13
19/12/2023 00:00,7:15:00,39,59,153,13
19/12/2023 00:00,7:20:00,28,59,201,13
19/12/2023 00:00,7:25:00,40,89,211,15
19/12/2023 00:00,7:30:00,42,79,208,17
19/12/2023 00:00,7:35:00,45,99,206,17
19/12/2023 00:00,7:40:00,38,93,222,17
19/12/2023 00:00,7:45:00,41,81,226,17
19/12/2023 00:00,7:50:00,43,75,227,17
19/12/2023 00:00,7:55:00,35,111,179,17
19/12/2023 00:00,8:00:00,46,141,208,17
19/12/2023 00:00,8:05:00,48,99,224,17
19/12/2023 00:00,8:10:00,33,69,210,17
19/12/2023 00:00,8:15:00,53,65,233,17
19/12/2023 00:00,8:20:00,33,95,220,17
19/12/2023 00:00,8:25:00,38,55,234,17
19/12/2023 00:00,8:30:00,26,117,202,17
19/12/2023 00:00,8:35:00,25,73,205,17
19/12/2023 00:00,8:40:00,41,61,223,17
19/12/2023 00:00,8:45:00,25,69,221,17
19/12/2023 00:00,8:50:00,36,47,241,17
19/12/2023 00:00,8:55:00,27,85,214,17
19/12/2023 00:00,9:00:00,21,73,232,17
19/12/2023 00:00,9:05:00,35,121,243,17
19/12/2023 00:00,9:10:00,55,55,258,17
19/12/2023 00:00,9:15:00,44,57,257,17
19/12/2023 00:00,9:20:00,32,37,255,17
19/12/2023 00:00,9:25:00,35,75,255,17
19/12/2023 00:00,9:30:00,64,75,247,17
19/12/2023 00:00,9:35:00,71,91,227,17
19/12/2023 00:00,9:40:00,78,117,246,17
19/12/2023 00:00,9:45:00,133,161,262,16
19/12/2023 00:00,9:50:00,92,175,280,16
19/12/2023 00:00,9:55:00,57,153,225,16
19/12/2023 00:00,10:00:00,24,89,192,16
19/12/2023 00:00,10:05:00,10,45,109,17
19/12/2023 00:00,10:10:00,10,71,114,13
19/12/2023 00:00,10:15:00,13,61,137,14
19/12/2023 00:00,10:20:00,26,53,272,17
19/12/2023 00:00,10:25:00,48,39,271,17
19/12/2023 00:00,10:30:00,41,75,251,17
19/12/2023 00:00,10:35:00,89,135,246,17
19/12/2023 00:00,10:40:00,138,205,247,16
19/12/2023 00:00,10:45:00,254,288,260,16
19/12/2023 00:00,10:50:00,337,415,276,17
19/12/2023 00:00,10:55:00,370,515,246,17
19/12/2023 00:00,11:00:00,364,558,272,16
19/12/2023 00:00,11:05:00,389,596,267,16
19/12/2023 00:00,11:10:00,375,650,308,16
19/12/2023 00:00,11:15:00,330,602,276,16
19/12/2023 00:00,11:20:00,338,578,269,15
19/12/2023 00:00,11:25:00,309,554,289,17
19/12/2023 00:00,11:30:00,151,417,260,16
19/12/2023 00:00,11:35:00,110,227,264,16
19/12/2023 00:00,11:40:00,62,145,255,16
19/12/2023 00:00,11:45:00,20,83,207,16
19/12/2023 00:00,11:50:00,22,79,122,16
19/12/2023 00:00,11:55:00,22,67,95,13
19/12/2023 00:00,12:00:00,15,41,129,12
19/12/2023 00:00,12:05:00,12,61,130,12
19/12/2023 00:00,12:10:00,9,63,88,13
19/12/2023 00:00,12:15:00,8,39,98,13
19/12/2023 00:00,12:20:00,11,39,104,13
19/12/2023 00:00,12:25:00,17,69,106,12
19/12/2023 00:00,12:30:00,15,69,102,13
19/12/2023 00:00,12:35:00,16,45,102,13
19/12/2023 00:00,12:40:00,18,55,127,13
19/12/2023 00:00,12:45:00,24,53,153,13
19/12/2023 00:00,12:50:00,19,75,134,13
19/12/2023 00:00,12:55:00,20,55,124,13
19/12/2023 00:00,13:00:00,4,45,110,12
19/12/2023 00:00,13:05:00,9,25,89,11
19/12/2023 00:00,13:10:00,18,57,105,11
19/12/2023 00:00,13:15:00,14,71,104,11
19/12/2023 00:00,13:20:00,15,37,121,11
19/12/2023 00:00,13:25:00,7,63,134,10
19/12/2023 00:00,13:30:00,19,45,98,11
19/12/2023 00:00,13:35:00,22,37,130,11
19/12/2023 00:00,13:40:00,16,43,156,11
